Year,$30 or more,$10-$30,$5-$10,$1.90-$5,$1.90 or less
1820,537628,7143444,29523314,169391904,794510917
1830,585831,8085936,33032595,181653002,851972581
1840,576336,9229552,37482730,188946658,889888153
1850,485850,10391368,42552653,197089462,921709511
1860,874791,14710723,49955096,206453158,918913757
1870,1750428,20549919,57874647,222033767,932738016
1880,2129437,27537884,72213691,249911840,960484161
1890,3057339,40823876,94607477,300269990,984556622
1900,5009029,56948415,116256349,351322715,1003118531
1910,11633345,83704179,144523318,424909500,1048021179
1920,15460822,110103902,169525501,453016439,1101719442
1930,22298407,135647386,200386650,500767959,1155943907
1940,26559130,164059989,234456142,599876339,1208816805
1950,62560937,221379700,253513075,641816469,1347646043
1960,99194870,326492339,373036995,714894165,1528357605
1970,188787349,544467001,432348469,691633087,1827633088
1980,407363050,774477988,420847029,810123074,2039792780
1981,417396285,776004944,421371422,916951493,1986783909
1982,422257594,776744633,433797145,977969346,1981925720
1983,430665087,776413412,433812335,1068287975,1972120282
1984,440982850,770914352,454151696,1195345579,1901089349
1985,456112864,777262363,466971726,1340988170,1802762559
1986,480419803,784885036,490147573,1401974300,1764740811
1987,491206425,786675500,496132588,1469106550,1758289520
1988,516022373,785156507,500448462,1461068145,1821371194
1989,538232618,767943656,510961424,1471452360,1891229486
1990,548829472,761983601,540843814,1513385260,1910112534
1991,550884840,749493376,567098240,1582580269,1901953666
1992,561451735,743673274,582732088,1678402417,1880659686
1993,562893434,716896112,614625113,1789440814,1846386629
1994,580649274,719819840,623858243,1855594089,1819230274
1995,601414975,729929809,653011611,1953349004,1745716482
1996,614776947,720966438,699091609,2095035060,1645955501
1997,629190862,724787203,728181515,2095548655,1680855643
1998,642466083,732950900,741638980,2075906428,1746762032
1999,654311918,718489746,776556363,2208844532,1667136985
2000,686546498,742452155,823760439,2250529946,1626546144
2001,701863157,762384505,875095553,2286021210,1574685701
2002,712058818,796170088,946531789,2311916757,1498777807
2003,737521610,821435366,978363142,2341325622,1476842145
2004,756378069,874049928,1030398010,2386773280,1366239327
2005,781003780,939726754,1088931859,2434746826,1273831209
2006,802424660,995158835,1128799631,2412749814,1247193794
2007,849914034,1051294783,1183788085,2416837164,1177715964
2008,853227365,1129951862,1204577662,2411203196,1173305689
2009,857695735,1182868301,1262027971,2437688593,1118225241
2010,900304735,1246190841,1317083850,2453903465,1022764112
2011,919622004,1335491329,1379665434,2465853784,943234479
2012,933892291,1416710175,1420627336,2458092796,888306249
2013,952120466,1514087349,1521889518,2458039093,763719510
2014,974634657,1594623920,1579875498,2422721649,738881684
2015,1008244711,1655402710,1621409508,2373553159,789912203
2016,1043825082,1703662655,1651225958,2416951245,721120241
2017,1061663145,1773498635,1697235300,2467193642,719587014
2018,1097261334,1825109097,1750841555,2478844936,674183499