country_name,gdp_per_capita_ppp,CPIA_public_sector_rating,mortality_rate_under5_per_1000,"Mortality rate, under-5, female (per 1,000 live births)","Mortality rate, under-5, male (per 1,000 live births)","Population, total",region
Afghanistan,1766.5930768642602,2.0,73.1,68.8,77.2,34413603.0,South Asia
Bangladesh,3231.69523717156,2.5,36.4,33.8,38.8,156256276.0,South Asia
Benin,1987.14191963108,3.5,103.7,97.8,109.3,10575952.0,Sub-Saharan Africa
Bhutan,8380.1235184464,4.5,33.4,30.3,36.2,727876.0,South Asia
Bolivia,6444.37511535808,3.0,37.5,33.9,40.9,10869730.0,Latin America and Caribbean
Burkina Faso,1596.33458051647,3.5,88.4,83.9,92.5,18110624.0,Sub-Saharan Africa
Burundi,715.54988614254,2.0,67.1,62.1,72.0,10160030.0,Sub-Saharan Africa
Cape Verde,6007.218290250699,4.5,19.7,17.8,21.6,524743.0,Sub-Saharan Africa
Cambodia,3290.14654193512,2.0,32.0,28.2,35.5,15521436.0,East Asia and Pacific
Cameroon,3223.5827301615004,2.5,90.1,84.1,95.7,23298368.0,Sub-Saharan Africa
Central African Republic,702.985324358434,2.5,130.2,123.3,136.8,4493170.0,Sub-Saharan Africa
Chad,2052.2236152887,2.5,130.8,123.6,137.8,14110975.0,Sub-Saharan Africa
Comoros,2494.27415988142,2.5,73.2,67.3,78.8,777424.0,Sub-Saharan Africa
"Congo, Dem. Rep.",811.892718057311,2.0,97.6,90.2,104.8,76244544.0,Sub-Saharan Africa
"Congo, Rep.",5702.1829761714,2.0,51.3,46.9,55.5,4856095.0,Sub-Saharan Africa
Cote d'Ivoire,3225.1888592198493,3.0,94.9,86.0,103.4,23226143.0,Sub-Saharan Africa
Djibouti,,2.5,65.7,60.1,71.1,913993.0,Middle East and North Africa
Dominica,10215.3044186967,4.0,31.2,28.6,33.6,71183.0,Latin America and Caribbean
Eritrea,,2.0,46.1,41.0,50.9,,Sub-Saharan Africa
Ethiopia,1518.47487145011,3.0,64.2,57.4,70.5,100835458.0,Sub-Saharan Africa
"Gambia, The",1481.4762001743802,2.0,67.9,62.7,72.9,2085860.0,Sub-Saharan Africa
Ghana,3786.9609676170703,3.5,54.7,49.6,59.6,27849205.0,Sub-Saharan Africa
Grenada,12435.5641894715,4.0,16.3,14.9,17.6,109599.0,Latin America and Caribbean
Guinea,1859.74172387616,2.5,91.7,86.2,96.9,11432088.0,Sub-Saharan Africa
Guinea-Bissau,1474.2367869793802,2.0,90.7,83.9,97.3,1737202.0,Sub-Saharan Africa
Guyana,7086.91276734193,3.0,33.3,29.0,37.4,767432.0,Latin America and Caribbean
Haiti,1653.62433889509,2.5,75.0,68.9,81.0,10695542.0,Latin America and Caribbean
Honduras,4247.381749231629,3.0,19.6,17.4,21.7,9112916.0,Latin America and Caribbean
Kenya,2797.86358364244,3.0,48.7,44.5,52.7,47878336.0,Sub-Saharan Africa
Kiribati,1975.79500821365,3.5,57.8,52.8,62.6,110930.0,East Asia and Pacific
Kosovo,9161.98520592269,3.0,,,,1801800.0,Europe and Central Asia
Kyrgyz Republic,3233.53256740346,3.0,22.3,19.6,24.8,5956900.0,Europe and Central Asia
Lao PDR,5689.15496281865,2.5,67.9,61.8,73.6,6741164.0,East Asia and Pacific
Lesotho,2867.14816468684,3.0,93.8,86.3,100.9,2059021.0,Sub-Saharan Africa
Liberia,1225.92630469558,3.0,80.1,74.1,85.8,4472230.0,Sub-Saharan Africa
Madagascar,1377.1682126910098,2.5,47.8,43.4,52.0,24234088.0,Sub-Saharan Africa
Malawi,1142.55428298268,2.5,61.7,56.2,67.0,16745303.0,Sub-Saharan Africa
Maldives,12683.7587467506,3.0,8.8,7.9,9.7,454915.0,South Asia
Mali,1922.43399960672,3.0,113.7,107.8,119.0,17438778.0,Sub-Saharan Africa
Marshall Islands,3381.72500426133,3.5,35.8,31.8,39.7,57439.0,East Asia and Pacific
Mauritania,372.270361512154,3.0,84.1,77.8,90.2,4046301.0,Sub-Saharan Africa
"Micronesia, Fed. Sts.",3137.22603293198,3.5,34.2,30.6,37.6,108895.0,East Asia and Pacific
Moldova,5695.630724578679,2.5,16.0,14.3,17.6,3554108.0,Europe and Central Asia
Mongolia,11329.8779732218,3.5,18.8,15.1,22.3,2998439.0,East Asia and Pacific
Mozambique,1158.27942644078,2.5,78.6,73.6,83.2,27042002.0,Sub-Saharan Africa
Myanmar,5030.2641491511795,3.0,52.4,47.6,57.0,52680726.0,East Asia and Pacific
Nepal,2454.8746072373997,3.0,36.6,34.2,38.8,27015031.0,South Asia
Nicaragua,4845.5429786512295,3.0,18.5,16.3,20.6,6223240.0,Latin America and Caribbean
Niger,903.420053638706,3.0,93.5,89.6,97.1,20001663.0,Sub-Saharan Africa
Nigeria,5685.92583949693,3.0,107.5,100.8,114.0,181137448.0,Sub-Saharan Africa
Pakistan,4459.146517241,3.0,79.5,75.9,83.0,199426964.0,South Asia
Papua New Guinea,3820.44463244323,3.0,57.1,52.4,61.7,8107775.0,East Asia and Pacific
Rwanda,1774.4762181116,3.5,42.0,38.2,45.6,11369071.0,Sub-Saharan Africa
Samoa,5566.81152765364,4.0,17.3,15.8,18.8,193513.0,East Asia and Pacific
Sao Tome and Principe,2889.5801488777,3.5,35.1,31.3,38.7,199432.0,Sub-Saharan Africa
Senegal,3001.8191071676893,3.5,49.8,45.5,54.0,14578459.0,Sub-Saharan Africa
Sierra Leone,1326.20550445645,3.0,122.2,115.9,128.3,7171914.0,Sub-Saharan Africa
Solomon Islands,2093.5024705690603,3.0,21.9,19.8,24.0,603118.0,East Asia and Pacific
South Sudan,1909.90763386882,1.5,96.4,91.6,100.6,10715658.0,Sub-Saharan Africa
Sri Lanka,11077.597394536398,3.0,9.5,8.7,10.4,20970000.0,South Asia
St. Lucia,11568.2649189651,4.5,17.3,15.5,19.1,179126.0,Latin America and Caribbean
St. Vincent and the Grenadines,10472.1526868434,4.0,17.4,15.6,19.1,109148.0,Latin America and Caribbean
Sudan,4262.2336222617105,1.5,67.1,61.7,72.4,38902950.0,Sub-Saharan Africa
Tajikistan,2670.18020232317,2.5,35.8,31.8,39.6,8454028.0,Europe and Central Asia
Tanzania,2613.3571913184696,3.0,58.3,54.5,62.0,51482633.0,Sub-Saharan Africa
Timor-Leste,7657.278335094491,2.5,51.2,47.0,55.2,1196302.0,East Asia and Pacific
Togo,1467.2451592921802,2.5,77.7,71.4,83.5,7323158.0,Sub-Saharan Africa
Tonga,5477.34595519659,3.5,16.7,18.5,14.9,100781.0,East Asia and Pacific
Tuvalu,3389.01205646329,3.5,26.6,23.9,29.2,11099.0,East Asia and Pacific
Uganda,1749.6023494090805,2.0,55.3,49.8,60.5,38225453.0,Sub-Saharan Africa
Uzbekistan,5639.172992115289,2.0,25.6,21.9,29.1,31298900.0,Europe and Central Asia
Vanuatu,2739.22093230476,3.0,28.2,25.8,30.5,271130.0,East Asia and Pacific
Vietnam,5608.47185909735,3.0,21.6,18.0,25.1,92677076.0,East Asia and Pacific
"Yemen, Rep.",3108.76421712747,1.5,55.4,51.3,59.4,26497889.0,Middle East and North Africa
Zambia,3677.73501885216,3.0,64.9,59.7,69.8,15879361.0,Sub-Saharan Africa
Zimbabwe,2509.00814024701,2.0,57.0,51.8,62.0,13814629.0,Sub-Saharan Africa
